country,population
Afghanistan,21851445.2
Albania,3143046.711
Algeria,30302519.48
American Samoa,67621.83207
Andorra,81955.2822
Angola,13164065.55
Anguilla,11409.91503
Antigua and Barbuda,64848.00704
Argentina,37135984.59
Armenia,3769006.73
Aruba,100571.9721
Australia,19117258.45
Austria,8098137.958
Azerbaijan,8022693.944
Bahamas,304217.2864
Bahrain,639751.0101
Bangladesh,136946692.2
Barbados,267498.0301
Belarus,10162945.3
Belgium,10291865.45
Belize,229855.5102
Benin,6268574.366
Bermuda,62960.06884
Bhutan,2146254.968
Bolivia,8332108.955
Bosnia-Herzegovina,3967448.4
Botswana,1541861.322
Brazil,170360271.3
British Virgin Islands,23648.94291
Brunei,317450.486
Bulgaria,7959601.739
Burkina Faso,11537554.05
Burundi,6344619.602
Cambodia,13144739.51
Cameroon,14876813.17
Canada,30718184.48
Cape Verde,426952.9652
Cayman Islands,38228.99483
Central African Republic,3721958.12
Chad,7897643.602
Chile,15203355.32
China,1253670940
Colombia,42092557.05
Dominica,70558.94627
Comoros,705927.8568
Democratic Republic Congo,50845669.29
Republic Congo,3129230.522
Cook Islands,19604.28885
Costa Rica,4027854.293
Croatia,4457952.203
Cuba,11199087.17
Cyprus,783644.3178
Czech Republic,10293705.86
Denmark,5322335.016
Djibouti,631517.3791
Dominican Republic,8392520.443
East Timor,739186.9609
Ecuador,12648815.49
Egypt,67968957.75
El Salvador,6258171.365
Equatorial Guinea,453213.7617
Eritrea,3669623.443
Estonia,1391643.379
Ethiopia,62917110.06
Faroe Islands,46223.48018
Falkland Islands,2280.172982
Micronesia,122722.9779
Fiji,813595.7368
Finland,5169119.931
France,59209091.07
French Guiana,164581.5881
French Polynesia,233319.6578
Gabon,1233484.989
Gambia,1281015.649
Georgia,5270911.685
Germany,82016426.34
Ghana,19334497.6
Gibraltar,34155.615
Greece,10626953.69
Greenland,52495.79671
Grenada,93501.98601
Guadeloupe,433452.9162
Guam,155092.0093
Guatemala,11376954.97
Guernsey,56215.99996
Guinea,8127610.01
Guinea Bissau,1205180.649
Guyana,760165.2093
Haiti,8122560.997
Honduras,6437951.196
Hong Kong,6804005.433
Hungary,9970608.954
Iceland,279175.0766
India,1009460915
Indonesia,212059934.1
Iran,70294906.43
Iraq,22949131.92
Ireland,3810004.875
Isle Of Man,75132.99757
Israel,6114566.966
Italy,57499355.61
Ivory Coast,16003432.06
Jamaica,2576081.542
Japan,127094633
Jersey,86871.0021
Jordan,4902697.387
Kazakhstan,16251274.53
Kenya,30659816.73
Kiribati,82914.31767
South Korea,46751087.59
North Korea,22235281.5
Kuwait,1910986.998
Kyrgyzstan,5001851.968
Laos,5275179.906
Latvia,2425385.068
Lebanon,3481310.749
Lesotho,2009408.521
Liberia,2932949.611
Libya,5289885.119
Liechtenstein,36279.224
Lithuania,3699542.134
Luxembourg,437499.5437
Macau,237600.1836
Macedonia,2038877.012
Madagascar,15969747.89
Malawi,11235376.48
Malaysia,22334287.66
Maldives,290947.9664
Mali,11348825.35
Malta,389909.9992
Marshall Islands,51120.57035
Martinique,383384.9925
Mauritania,2663824.639
Mauritius,1161288.146
Mayotte,152886.7909
Mexico,98868764.56
Monaco,31658.106
Mongolia,2539563.998
Montserrat,3749.00023
Morocco (includes Western Sahara),29914142.71
Mozambique,18388408.93
Myanmar,47833114.61
Namibia,1741545.896
Nauru,12219.9963
Nepal,23147381.79
Netherland Antilles,209644.7746
Netherlands,15847389.61
New Caledonia,215288.0008
New Zealand,3777799.844
Nicaragua,5069789.135
Niger,10840376.46
Nigeria,113841741
Niue,2001.000281
Norfolk Island,1980.99988
Northern Mariana Islands,72749.16912
Norway,4467452.701
Occupied Palestinian Territory,3064946.118
Oman,2546916.461
Pakistan,140964343.6
Palau,19176.00618
Panama,2850680.568
Papua New Guinea,4808885.948
Paraguay,5437891.999
Peru,25656383.33
Philippines,75652465.35
Pitcairn Islands,67.757126
Poland,38600117.46
Portugal,10011821.72
Puerto Rico,3914678.393
Qatar,565718.6601
Moldova,4279035.569
Reunion,721213.8805
Romania,22436396.05
Russia,145477739.7
Rwanda,7598894.174
Saint Helena,6290.520411
Saint Kitts and Nevis,38472.99365
Saint Lucia,147782.9872
Saint Pierre and Miquelon,6851.587986
Saint Vincent and Grenadines,113278.7991
San Marino,23855.892
Sao Tome and Principe,137706.0173
Saudi Arabia,20365611.21
Senegal,9446546.102
Serbia and Montenegro,10508350.85
Seychelles,80410.00824
Sierra Leone,4409269.31
Singapore,3923168.248
Slovakia,5400410.909
Slovenia,2221491.154
Solomon Islands,447419.1486
Somalia,8772078.031
South Africa,43295001.97
Spain,39841540.14
Sri Lanka,18923626.37
Sudan,31074102.46
Suriname,418084.5324
Svalbard,7.770609
Swaziland,922385.4955
Sweden,8843130.725
Switzerland,7144994.226
Syria,16176346.73
Taiwan,21639832.74
Tajikistan,6072383.909
Thailand,62769558.92
Togo,4504857.275
Tokelau,1456.999861
Tonga,99036.87352
Trinidad and Tobago,1294351.829
Tunisia,9458732.673
Turkey,66689923.54
Turkmenistan,4797116.109
Turks and Caicos Islands,16698.4745
Tuvalu,10169.73858
Uganda,23296716.35
Ukraine,49575805.93
United Arab Emirates,2595784.311
United Kingdom,59404917.38
Tanzania,35112735.58
United States,283211910
United States Virgin Islands,120880.8478
Uruguay,3338938.092
Uzbekistan,24696848.77
Vanuatu,196799.2821
Venezuela,24177286.86
Vietnam,78113793.55
Wallis and Futuna,14461.00357
Samoa,158631.9404
Yemen,18348326.14
Zambia,10421033.75
Zimbabwe,12607464.54
